店铺,季度,商品名称,销售量,销售额
西直门店,1季度,笔记本,200,0
西直门店,2季度,笔记本,150,0
西直门店,3季度,笔记本,250,0
西直门店,4季度,笔记本,300,0
中关村店,1季度,笔记本,230,0
中关村店,2季度,笔记本,180,0
中关村店,3季度,笔记本,290,0
中关村店,4季度,笔记本,350,0
上地店,1季度,笔记本,180,0
上地店,2季度,笔记本,140,0
上地店,3季度,笔记本,220,0
上地店,4季度,笔记本,280,0
亚运村店,1季度,笔记本,210,0
亚运村店,2季度,笔记本,170,0
亚运村店,3季度,笔记本,260,0
亚运村店,4季度,笔记本,320,0
西直门店,1季度,台式机,260,0
西直门店,2季度,台式机,243,0
西直门店,3季度,台式机,362,0
西直门店,4季度,台式机,377,0
中关村店,1季度,台式机,261,0
中关村店,2季度,台式机,349,0
中关村店,3季度,台式机,400,0
中关村店,4季度,台式机,416,0
上地店,1季度,台式机,247,0
