后缀,描述
ett,WPS表格 模板文件(*.ett)
et,WPS表格 文件(*.et)
xls,Microsoft Excel 97/2000/XP/2003 Workbook(*.xls)
xlt,Microsoft Excel 97/2000/XP/2003 Template(*.xlt)
xlsx,Microsoft Excel 2007/2010 Workbook(*.xlsx)
xlsm,Microsoft Excel 2007/2010 Macro-Enabled Workbook(*.xlsm)
xltx,Excel 模板(*.xltx)
xltm,Excel 启用宏的模板(*.xltm)
xlsb,二进bai工作簿
odf,OpenOffice.org创建的数学公式OpenDocument格式。它是保存用于创建公式以及数学方程式中的文本文件的格式。
ods,"文档格式 (OpenDocument) 保存的, IBM Lotus Symphony 软件保存的电子表格文件"
odt,openoffice软件产生的文档格式
扩展名查阅网站,https://www.reviversoft.com/zh-cn/file-extensions/
